BINDER OCCURRENCE MATRIX
Pos: 1   2   3   4   5   6   7   8   9
A: [15,	7,	13,	19,	19,	16,	16,	29,	2]
C: [0,	0,	2,	1,	5,	3,	3,	2,	0]
D: [0,	0,	4,	15,	9,	14,	4,	11,	0]
E: [4,	2,	7,	26,	9,	6,	3,	13,	0]
F: [13,	3,	25,	1,	4,	9,	5,	4,	44]
G: [12,	1,	9,	17,	14,	27,	13,	12,	0]
H: [2,	1,	4,	7,	3,	4,	2,	2,	2]
I: [21,	6,	14,	3,	8,	6,	11,	1,	3]
K: [21,	0,	13,	6,	10,	4,	10,	8,	1]
L: [13,	38,	17,	14,	8,	8,	12,	6,	13]
M: [3,	25,	7,	2,	3,	1,	8,	2,	7]
N: [6,	0,	8,	6,	11,	12,	11,	3,	0]
P: [1,	0,	1,	18,	14,	3,	9,	9,	0]
Q: [6,	54,	10,	8,	3,	5,	6,	8,	0]
R: [12,	0,	12,	7,	11,	11,	10,	6,	0]
S: [7,	10,	6,	4,	12,	18,	13,	17,	0]
T: [8,	11,	4,	4,	10,	12,	15,	17,	3]
V: [12,	17,	7,	6,	8,	6,	12,	17,	4]
W: [5,	0,	3,	4,	6,	3,	4,	3,	8]
Y: [14,	0,	9,	7,	8,	7,	8,	5,	88]
-----------------------------
NON-BINDER OCCURRENCE MATRIX
Pos: 1   2   3   4   5   6   7   8   9
A: [61,	27,	36,	25,	49,	34,	43,	43,	20]
C: [7,	4,	3,	9,	7,	17,	6,	11,	6]
D: [27,	3,	67,	42,	22,	24,	23,	30,	4]
E: [38,	22,	25,	44,	24,	19,	18,	29,	10]
F: [32,	22,	39,	21,	25,	34,	37,	29,	61]
G: [36,	10,	31,	56,	38,	47,	38,	40,	12]
H: [15,	23,	16,	10,	18,	12,	26,	11,	6]
I: [37,	28,	35,	27,	35,	41,	36,	13,	28]
K: [37,	10,	28,	19,	35,	21,	22,	31,	75]
L: [23,	67,	32,	34,	31,	34,	48,	42,	100]
M: [14,	27,	15,	8,	16,	14,	27,	19,	11]
N: [19,	3,	23,	21,	29,	28,	27,	20,	1]
P: [14,	70,	34,	61,	32,	30,	21,	32,	7]
Q: [10,	11,	19,	31,	22,	29,	28,	23,	9]
R: [61,	55,	30,	29,	25,	45,	20,	32,	21]
S: [37,	40,	32,	30,	26,	34,	28,	34,	7]
T: [22,	55,	19,	24,	28,	32,	28,	43,	7]
V: [24,	41,	19,	22,	50,	31,	42,	34,	57]
W: [11,	2,	15,	19,	16,	12,	18,	12,	37]
Y: [26,	31,	33,	19,	23,	13,	15,	23,	72]
